Puzzle_ID,Puzzle_String,Difficulty,Algorithm,Solved,Optimal,Moves,Nodes_Expanded,Max_Frontier_Size,Time_Taken_ms
T1,412053786,Easy,BFS,Yes,Yes,5,47,42,0.619
T1,412053786,Easy,Greedy Best-First,Yes,Yes,5,6,5,0.917
T1,412053786,Easy,A*,Yes,Yes,5,6,5,0.056
T2,123560478,Easy,BFS,Yes,Yes,5,36,30,0.36
T2,123560478,Easy,Greedy Best-First,Yes,Yes,5,6,7,0.112
T2,123560478,Easy,A*,Yes,Yes,5,6,7,0.103
T3,103426758,Easy,BFS,Yes,Yes,3,19,14,0.17
T3,103426758,Easy,Greedy Best-First,Yes,Yes,3,4,6,0.109
T3,103426758,Easy,A*,Yes,Yes,3,4,6,0.061
T4,203168475,Medium,BFS,Yes,Yes,9,334,212,5.338
T4,203168475,Medium,Greedy Best-First,Yes,Yes,9,10,9,0.156
T4,203168475,Medium,A*,Yes,Yes,9,10,9,0.144
T5,123748605,Medium,BFS,Yes,Yes,9,304,205,2.414
T5,123748605,Medium,Greedy Best-First,Yes,Yes,9,10,11,0.18
T5,123748605,Medium,A*,Yes,Yes,9,17,16,0.345
T6,253107486,Medium,BFS,Yes,Yes,10,725,440,6.385
T6,253107486,Medium,Greedy Best-First,Yes,No,12,17,16,0.162
T6,253107486,Medium,A*,Yes,Yes,10,24,19,0.232
T7,162743508,Medium,BFS,Yes,Yes,9,317,206,2.241
T7,162743508,Medium,Greedy Best-First,Yes,Yes,9,10,11,0.098
T7,162743508,Medium,A*,Yes,Yes,9,13,12,0.116
T8,541706823,Hard,BFS,Yes,Yes,18,31972,12217,243.889
T8,541706823,Hard,Greedy Best-First,Yes,No,36,192,146,1.876
T8,541706823,Hard,A*,Yes,Yes,18,284,186,2.615
T9,173406285,Hard,BFS,Yes,Yes,20,56820,18858,470.033
T9,173406285,Hard,Greedy Best-First,Yes,No,38,115,74,1.045
T9,173406285,Hard,A*,Yes,Yes,20,952,571,9.749
T10,451638720,Hard,BFS,Yes,Yes,18,22763,10305,171.478
T10,451638720,Hard,Greedy Best-First,Yes,No,32,114,78,1.088
T10,451638720,Hard,A*,Yes,Yes,18,215,136,1.93
